idx	wav	ground_truth	recognized	duration
106	files/6feb80b0fda184eb77e8acf03c0689b4.wav	сбер звонок виталию флюровичу	сбер звонок виталию флюровичу	2.7626875
107	files/41e941b2258fe469fcd4f28f85a77c28.wav	сбер остановить	сбер остановить	1.4450625
108	files/2a71b9ea1cbb4c0b91ba7c59a3b6ab4f.wav	джой не нравится	джой не нравится	1.562625
109	files/247b88473a4dce07adc7e0a59241fe58.wav	сбер сделай звонок евгению михайловичу тимофееву	сбер сделай звонок евгению михайловичу тимофееву	3.94525
110	files/ac4896de3260f9287281a7d05e55ed02.wav	сбер выйти из навыка	сбер выйти из навыка	2.4825625000000002
111	files/26db91c46255ce499282125da6ebd9c8.wav	сбер позвони орешкину	сбер позвони орешкину	1.7854375
112	files/3bb1f83110300f74f97a64ce9d07cfc9.wav	сбер вызов валерону	сбер вы вызов валерона	2.2310625
113	files/944ea388fa931e3597edd09a92f95d8f.wav	сбер мне нравится	сбер мне нравится	1.9188125
114	files/82bd984b8b0ab0c3d84a9ffe04f1759d.wav	сбер следующий трек	сбер следующий трек	2.0066875
115	files/661513f469bd0931dd78f8c12d265aac.wav	афина случайный трек	афина случайный трек	2.326
116	files/f9dd92157b5f84051be088b4f5e1c3a3.wav	афина выключи	афина выключи	1.4089375
117	files/0ad086e4c8f547243066b845f1eb7f72.wav	джой караоке	джой караоке	1.2314375
118	files/37733885223ab82356a7c37308a7a7da.wav	сбер надоела	сбер надоело	1.53325
119	files/e8b5b77a218dd35c5377531620a13255.wav	джой сверни	джой сверни	1.5914375
120	files/f339424305bb9ac4e1e3724d29902f70.wav	джой закрой приложение	джой закрой приложение	1.6659375
121	files/7a412e62acb2b9d1e095b67188af0ac9.wav	афина караоке	афина караоке	1.3806875
122	files/9a6563df2b94ff3e4e71444ce6cc8982.wav	салют назад	салют назад	1.95975
123	files/f2f3044e08cae4776c1c6906b2c811de.wav	салют набери владислава дмитриевича	салют набери владислава дмитриевича	2.4080624999999998
124	files/685c56a18bd0570b836acaca1b1ec072.wav	сбер набери синякова	сбер набери синякова	1.9150625
125	files/0a172e6a40ff4bdecdc8ced06f6a6b58.wav	салют закрой приложение	салют закрой приложение	1.8211875
126	files/14a4ee8c3e1b301f772fe452dd8dfa6e.wav	сбер надоел	сбер надоел	1.28025
127	files/e957344836129dba56d0bbb701e85420.wav	джой набери рябых	джой набери рябов	1.7697500000000002
128	files/8eabd5fdcdf5b8913ac10c076716b18e.wav	афина скрой приложение	афина скрой приложение	1.9264375
129	files/79e24f3b9dec88eb5a4be808a5ab9d69.wav	джой выйти из навыка	джой выйти из навыка	1.836125
130	files/cbbe1a143137c296707a5f4ac782b02b.wav	сбер продолжить	сбер продолжить	1.525625
131	files/474e63de1229655501ed81a9cc647e93.wav	сбер закрой приложение	сбер закрой приложение	1.87675
132	files/d9b801494f39ae62a14523e30bd4c6b6.wav	салют стоп	салют стоп	1.80075
133	files/44e3666a8bdddb5905d2d4f54c6ced08.wav	джой тише	джой тише	1.389375
134	files/3592f96fa0c560ecd1c6a55da6345a42.wav	джой завершить навык	джой завершить навык	1.452625
135	files/c5661dae36ed4e095c308cda3a0c430a.wav	афина мне не нравится	афина мне не нравится	1.7944375
136	files/190acd42eb1d031818827c6edfa5be5b.wav	джой приложение сверни	джой приложение сверни	2.17325
137	files/cfb7a1b86b1cbcee2bdb0e1f8ab5d81f.wav	салют покажи текст песни	салют покажи текст песни	2.01025
138	files/2419c0d88f0797bea4579932dd5f029b.wav	джой позвони марине олеговне	джой позвони марине олеговне	2.8006875
139	files/923bdd9a7f6ab5070e7312f12eaadf17.wav	джой выйти из приложения	джой выйти из приложения	2.0843125
140	files/353a04f64798ba822b8456aa76200536.wav	сбер набери танюшу	сбер набери танюшу	2.008
141	files/cb81df552db89c7c3c2ac9528834524c.wav	салют сделай звонок маринину	салют сделай звонок маринину	2.0990625
142	files/cb462dc87de6085d2e42e7d5e1b4775f.wav	джой хватит	джой хватит	0.9707500000000001
143	files/49b229be2b1ab3ba56442cee2550707b.wav	афина назад	афина назад	1.698375
144	files/de40e2d1467dc30ca607792fca30a2cf.wav	сбер случайный трек	сбер случайный трек	1.824
145	files/f2846850fe12e1aa343235ff65d955b9.wav	афина не нравится	афина не нравится	1.7508124999999999
146	files/85c297f497179d02f0f5cf01e9a1f166.wav	сбер сделай звонок умиджону алиевичу пастухову	сбер сделай звонок умиджону алиевичу пастухову	4.29975
147	files/ae7061fb42ed94c8d1e39889871209ce.wav	салют набери алексея	салют набери алексея	2.37
148	files/89a039951ed8f17537aecf23bfda7cc3.wav	афина сделай звонок григорию николаевичу	афина сделай звонок григорию николаевичу	3.040875
149	files/c381a601e6af11562e0399d02cd6eefc.wav	афина перезвони виктору николаевичу филиппову	афина перезвони виктору николаевичу филиппову	3.2095000000000002
150	files/7213799dd5e480050c5213e3a9734048.wav	джой надоел	джой надоел	1.3431875
151	files/616889b62bf107fb31fd533323b378e9.wav	салют сделай звонок исламчику абрамову	салют сделай звонок исламчику абрамову	2.873125
152	files/cd2a10baf957c0dc15288e6a73ae8d34.wav	джой перемотка	джой перемотка	1.5803125
153	files/4b963a4b6bc677f3495971b9b75c7c39.wav	сбер выйти из сценария	сбер выйти из сценария	2.4121875
154	files/c920999aaaf123bc4b5a6f2492e9226b.wav	афина закрой приложение	афина закрой приложение	2.25375
155	files/881f03db4a2a7c74630ea61f41af4668.wav	салют сверни	салют сверни	1.3750624999999999
156	files/3c66002172ef030a1e37617933ee23b0.wav	сбер случайный трек	сбер случайный трек	2.0671875
157	files/ef17c9a6751dd1efd4cb8c9f769e2a54.wav	афина прекрати	афина прекрати	1.5536249999999998
158	files/9c593558a06cb4d5584cea1a13db4a84.wav	афина случайный трек	афина случайный трек	1.559875
159	files/d685bd25e19c34ae0e64035a123e6680.wav	салют зачем копить деньги	салют зачем копить деньги	2.951875
160	files/c51be44447b0c9c9a28c8e3ea317d425.wav	салют кто лучше играет месси или роналду	салют кто лучше играет мэси или роналду	4.7623125
161	files/ccbfae4ad2ef4229ded6992d3fca5a38.wav	афина почему трамваи едут по рельсам	афина почему трампа и трамвай едут по рельсам	4.75375
162	files/5dc41f6190a5fb8339fb19d088f5b8fc.wav	джой найди египтус	джой найди египтус	2.8433124999999997
163	files/9ec5334e3fbfeca7b52c1aff9f93de61.wav	афина кто красит редиску под землей	афина кто красит редиску под землёй	4.272625
164	files/84c09f385d7801423b99ec0794560298.wav	сбер что такое зона пятьдесят один	сбер что такое зона пятьдесят один	3.043625
165	files/02e2fd7b2355a14ad60fdeedecfcf968.wav	кто такой человек паук	кто такой человек-паук	2.2536875
166	files/596548a20da4719c2778d2199ec3c963.wav	афина включи братья кратт	афина включи братья крат	2.7474375
167	files/d742ff48fb6d23d92eeb85b068f93bd1.wav	как повысить температуру тела	как повысить температуру тела	2.9015625
168	files/fe26e0a65af5c6a09187a54b664fb595.wav	сбер зачем человеку цель в жизни	сбер зачем человеку цель в жизни	3.245125
169	files/e57f5576cd84f959b008da37b3f06a25.wav	что такое стыд	что такое стыд	1.3655
170	files/52e3c1327680d78b9a0a2cba6a52317f.wav	кафе баттербин	кафе батярбин	2.14625
171	files/76c369a6588380d56f7e80edaffdba57.wav	салют почему в петербурге на станциях двери	салют почему в петербурге на станциях две двери	5.128375
172	files/3a6b78049670a6aabd72ba9340ac5fc3.wav	джой почему пластилин слипается	джой почему пластилин слипается	3.550375
173	files/a111159f83dd22d6a1e22cda97c08b6b.wav	джой что значит захватить мир	джой что значит захватить мир	3.3443125
174	files/3dae2322f67232d2d7fed515cc3ca7be.wav	салют зачем копить деньги	салют зачем копить деньги	3.21
175	files/885170ca5413cb7540d257135bccdd6b.wav	афина что такое нейросеть	афина что такое нейросеп	2.956375
176	files/6a3b722c42c4cf2b851822ad2a99edbd.wav	эбби хэтчер	эбби хэтчер	2.3999375
177	files/3a4b510d2e0cb46c4883252f94310601.wav	что делать если кошка дерет обои	что делает если кошка дерёт оболь	3.490125
178	files/cb7068e6c986ad90edcd95f99d8bc601.wav	афина что такое титаник	афина что такое титаник	2.519875
179	files/de5f70763f73d3d3836423ad7ebbff7e.wav	джой почему морские свинки так называются	джой почему морские свинки так называются	4.40425
180	files/b03a371a0013a10e566047c88e8be6f3.wav	сбер включи пороро	сбер включи пороро	3.0071875
181	files/f6fcdaf9c99c0930a5619f1295dc7960.wav	афина чем мурчат кошки	афина чем мырчат кошки	2.7171875
182	files/b1af590c44723fa70c19d7d666532d81.wav	сбер как нужно одеваться	сбер как нужно одеваться	2.0225
183	files/7ab97ba363d56c44ce619f0b901288b9.wav	салют найди чуня	салют найди чуня	2.1485
184	files/b5e27c259b43c517cfc00a267122bb08.wav	афина как не убираться	афина как не убираться	2.69825
185	files/2cad5da7e09765c8fedb608e918f700a.wav	салют кто лучше играет месси или роналду	салют кто лучший играет мэсси или роналду	4.738125
186	files/0a241e2a814d5895808c135eebcc48e3.wav	афина почему трамваи едут по рельсам	афина почему трампа и трамвай едут по рельсам	4.841125
187	files/dc9defdec106a75532021b9de89b394c.wav	афина кто красит редиску под землей	афина кто красит редиску под землёй	4.042875
188	files/d59590775bce229b7c16433ed98009f1.wav	почему я не нравлюсь девочкам	почему я не нравлюсь девочкам	2.624125
189	files/6aa51997373f6338ea960139b817b589.wav	джой найди египтус	джой найди египтус	3.189375
190	files/34db979b0fe154ace366ed63b9cbbb32.wav	что будет если луна исчезнет	что будет если луна исчезнет	2.4650625
191	files/3379b9f8c4562d2909bff16a78b0a3b2.wav	салют почему жизнь в галактике млечный путь есть только на нашей планете	салют почему жить в галактике млечный путь есть только на нашей планете	7.1445
192	files/8a71f67995402ec29c29e5b2e1a57a59.wav	зачем нужны фразеологизмы если они никому не понятны	зачем нужны фразеологизмы если они никому не будут не понятны	5.231625
193	files/10b22f591e37510bf54473c8f7ac3f99.wav	афина почему лампочка светит	афина почему лампочка светит	2.505375
194	files/9ce8f5ede1e2de3f136e18d2dc310f7f.wav	как повысить температуру тела	как повысить температуру тела	2.701125
195	files/77321b65be822fdae8178123feb06036.wav	афина включи братья кратт	афина включи братья крат	2.6209375
196	files/98e8236d098fd8af59df4dd4a7f161c6.wav	что такое стыд	что такое стыд	1.898375
197	files/85813082b8d131a0cb5bfc4ad51afe28.wav	сбер зачем человеку цель в жизни	сбер зачем человеку цели в жизни	3.579875
198	files/b6c08869b9a01ccf3a779ea0334e0f92.wav	почему конфеты сладкие	почему конфеты сладкие	2.1744375
199	files/29a1891bd1b66bf9c1c7eba3ada061d0.wav	джой что такое блатные слова	джой что такое булатные слова	4.1816875
200	files/d9e8db81ee152dc832c0ea961200f2c0.wav	афина включи рапунцель	афина включи рапунцель	2.078
201	files/686e47b2a9cf91cedd84a256c8d72ccf.wav	афина йоко	афина еоко	1.5755625
202	files/41cf83f5d2a7e599ca0f81cb1c3d1c7c.wav	зачем львам грива	зачем иван грива	2.589
203	files/1db939032517aaa02717c767e4df07fc.wav	салют как муха держится на потолке	салют как муха держится на потолке	4.0234375
204	files/8cccd3612e2aac065b2086673e20bd21.wav	салют как прикормить единорога	салют как прикормить единорога	3.694875
205	files/0d845e3a92e7d381cf4bbb2789dc9a8f.wav	сколько можно пить свекольного сока	сколько можно пить свекольного сока	3.9135625
206	files/aed92343b54e34c25e8a45de6685d10c.wav	что такое макет	что такое макет	1.617125
207	files/8dc9d5ad31b0652cd1a61d807d83a4d6.wav	джой что такое электронная почта	джой что такое электронная почта	3.1455
208	files/76fe0b3a6f997af284695ad9f53ec6fa.wav	что такое перспектива	что такое перспектива	2.2981249999999998
209	files/a51f4409688d379c9b662125a14d869a.wav	паровозики из чаггингтон	паровозики из чагингтон	3.3323125
210	files/a59d4f710f6f4776f57a13d4f24aea19.wav	почему слоны не летают	почему слоны не летают	2.2530625
211	files/39e26a12725d2d13478c929fa8511cf8.wav	джой почему бумага шуршит	джой почему бумага шуршит	3.0913125
212	files/ee9052e7a024c2bc03b827d61f7aa766.wav	сбер что такое интернет	сбер что такое интернет	2.404875
213	files/340c3a6e5cb55a0626bf9256b3379ac2.wav	кто такая сири	кто такая сири	2.2090625
214	files/9cb1ddfff3548e93697c6c9128a9e758.wav	кто придумал лампы	кто придумал лампы	1.7578125
215	files/2b7433de6e152d0dc498dc35d0398b70.wav	афина как найти клад	афина как найти клад	2.6598125
216	files/f84d3d140cf2155ce3f9af9350510236.wav	где у земли верх и низ	где у земли вверх и низ	2.28775
217	files/f49271d87a7764304da70d4ef5943b56.wav	сбер как объяснить ребенку что такое электричество	сбер как объяснить ребёнку что такое электричество	4.0616875
218	files/6b35c8145a064c41a40e2349ec60547f.wav	сбер почему нельзя есть козявки	сбер почему нельзя есть козявки	3.2148125
219	files/1b5c9b2ef5cacbc9e36ede65394a8a4c.wav	джой когда рак на горе свистнет	джой когда враг на горе свиски	3.530625
220	files/777fe0d6bce366f3a0d6f8e7f3428292.wav	сбер какие есть самые крутые игры про будущее	сбер какие есть самые крутые игры про будущее	5.6366875
221	files/a507d80a59f7536f80225ef84a4e5851.wav	афина как стать русалкой	афина как стать русалкой	2.8345000000000002
222	files/1b5c8c4fad39486fccc05d916f3d87a8.wav	салют найди новые луни тюнз	салют найди новые луни тюми	3.866875
223	files/7b379ea2d5b25504204ba9460877db4d.wav	какая биография у пушкина	какая биография у пушкина	2.4543749999999998
224	files/85cf92ed933dd7f9b58537b055dc382b.wav	салют поставь явь	салют поставь	2.353875
225	files/8e33f816dba87deb4039015cacb070fc.wav	сбер не нравится	сбер не нравится	1.4859375
226	files/ac149f9d7ec3c6032f52ec603b4ed8ac.wav	джой звонок надежде васильевне балакиной	джой звонок надежде васильевне балакиной	2.6589375
227	files/6482f3d47e6e8a4aed2a352954c1aa35.wav	джой надоело	джой надоело	1.260375
228	files/1bac7fb54697703e786ca377da6c5d83.wav	сбер стоп	сбер стоп	1.0465
229	files/364028cda638e71e33b9a9642d445a84.wav	сбер покажи текст песни	сбер покажи текст песни	1.8788749999999999
230	files/1180f6fddda4088f37ca037112cc2269.wav	джой выйди из приложения	джой выйди из приложения	2.32525
231	files/d9f6df1a498914a85e464ed5b480a686.wav	афина перезвони рябинину	афина перезвони рябинину	2.220125
232	files/5e6079968307ee435b29d77c22bee50f.wav	сбер лайк	сбер лайк	0.9864375
233	files/719684e1d977db29cef9c56e17691f51.wav	салют дальше	салют дальше	0.9154374999999999
234	files/f2e614199cd921b5a773edcd4f490f58.wav	афина сверни приложение	афина сверни приложение	1.8265
235	files/c52651a784f2490a08edb621b3e9f397.wav	салют набери варвару юрьевну чернову	салют набери варвару юрьевну чернову	3.61375
236	files/83341ccc0f3c2afd65a9a907b562ae89.wav	сбер дальше	сбер дальше	1.7800625
237	files/4a94ade3f6166da61ea3c9ffa64439ac.wav	афина набери викторию	афина набери викторию	1.768875
238	files/b6240f331192779afea96968dc5f4733.wav	афина завершить навык	афина завершить навык	1.975
239	files/b53dbd431bcae55fa13d236230103a71.wav	афина мне не нравится	афина мне не нравится	1.9448124999999998
240	files/d73f6299f17c79412bf73cd0f383f680.wav	сбер перезвони шарипову	сбер перезвони шарипову	2.1848125
241	files/47ef7c8af998779b5d77e90bf76a77fe.wav	джой мне нравится	джой мне нравится	1.6026875
242	files/ba12f24e493ee6afd6fdf6ca706b1934.wav	салют назад	салют назад	1.4080625
243	files/9b941318ef25009480023ac1adbf414c.wav	сбер завершить навык	сбер завершить навык	1.8363125
244	files/9fa6c71e882289c577a197d572e3bee4.wav	афина назад	афина назад	1.264125
245	files/ef1c9e76da47e4d9c4ac87d5ae3464aa.wav	сбер надоело	сбер надоело	1.4010625
246	files/fdfc5540cf97101484a6bab608e6a268.wav	сбер набери анкудинова	сбер набери анкудинова	2.23825
247	files/f3857da8fe39cf6b8a3d0588967954db.wav	салют сворачивай	салют сворачивай	1.4313125
248	files/390ed807a936a72375677088533ed401.wav	салют остановить	салют остановись	1.325875
249	files/1942faba3e47a1ed3c72390aaeac3012.wav	салют мне не нравится	салют мне не нравится	1.923375
250	files/5e13e3b64e18be6a4ff82e15e5f7acc3.wav	афина набери евгения	афина набери евгения	2.309625
251	files/cdb91ff368acefcf75310cf9692824eb.wav	сбер позвони зарубиной	сбер позвони зарубиной	1.9800624999999998
252	files/d9b85e4adcc27f3fe1f90fbb935c124e.wav	сбер остановить	сбер остановить	1.832875
253	files/fd809bdbcc07458510b39b270da53320.wav	афина дальше	афина дальше	1.509875
254	files/9914ada0974798f27be2ba9373076ff9.wav	афина выключи	афина выключи	1.2249375
